row_ID,mz_rt,mz,rt,40TT_10M2_neq_16,FreshJuice1_neq_24,FreshJuice3_neg_64,40TT_10M5_neg_40,40TT_10M4_neg_26,FreshJuice4_neg_38,FreshJuice6_neg_45,FreshJuice5_neg_73,40TT_10M6_neg_72,40TT_10M3_neg_46,FreshJuice2_neg_54,MEF_SS6_neg_75,MEF_SS4_neg_68,MEF_SS1_neg_56,MEF_SS2_neg_34,MEF_SS3_neg_52,MEF1_neg_41,MEF2_neg_60,QC11_neg_78,QC4_neg_28,QC10_neg_74,QC2_neg_13,MEF4_neg_29,MEF5_neg_50,MEF3_neg_44,QC9_neg_67,QC5_neg_35,QC6_neg_43,QC3_neq_20,QC7_neg_51,QC8_neg_59,QC12_neg_79,QC1_neg_12
3392,516.2377_2.7016,516.2376662,2.7016072,7938.878,6825.475,9195.293,9745.912,7710.0493,9852.032,9468.866,8608.107,8309.377,9227.465,8657.63,8619.084,8904.444,6201.7695,8354.15,8518.392,7314.201,8352.847,7813.61,8827.672,6649.5024,10032.797,10172.096,8694.381,7573.966,8431.496,6495.5566,8221.43,8690.679,7301.0137,9448.378,5651.0854,8930.8
4571,516.242_4.5716,516.2420423,4.5715694,17580.172,20273.498,19588.646,15746.835,15328.736,18934.623,20045.771,19333.531,16458.523,14324.849,20204.807,2236.482,NA,5215.16,4708.731,5585.0527,2947.2356,NA,12981.648,13701.589,11558.054,12823.1,6725.249,8610.13,6934.336,12376.861,13097.252,14862.39,14227.084,13707.193,13294.677,12103.463,14408.085
2088,517.1194_1.7956,517.1193551,1.7955736,7603.961,7847.1606,8684.635,7086.5664,8940.651,8921.842,9338.489,7116.265,8080.0205,7292.8506,8037.6504,4992.1694,4885.3345,5161.487,6584.563,6060.04,5726.574,6081.99,7160.4956,7395.509,8101.1865,6566.3354,8629.469,6516.803,6209.8394,9998.121,6433.707,7761.9956,7824.5303,7048.221,8197.09,8836.458,5741.117
448,517.1399_0.3081,517.1398981,0.3080736,37219.766,29694.453,26346.422,36077.395,31391.408,33732.535,36202.742,33125.934,34469.965,33406.07,36122.902,22103.002,20690.55,23239.186,18455.61,24249.682,11104.35,17189.83,31200.215,26674.742,32926.22,32248.87,27719.982,22006.363,24861.36,31678.404,26691.457,28002.92,36144.78,30923.129,36131.02,32744.031,34052.508
2973,517.1557_2.4914,517.1556728,2.4914083,7356.8506,8524.334,9076.22,5197.6533,7246.83,8006.0254,8974.6,8388.3955,5509.016,5486.231,7986.9297,3780.532,4145.6807,3149.0674,5079.8516,4962.6113,4043.9136,4184.86,5053.4824,3888.528,6248.281,4276.157,5408.406,7019.891,5481.56,6124.6035,5229.0474,6412.2144,4104.987,4845.818,5208.0454,5192.35,4583.6274
2266,517.1557_2.0082,517.1556909,2.0082061,17548.078,15276.08,14170.989,13237.861,12606.873,13078.926,13271.895,14510.475,12225.985,17193.025,13037.118,8248.142,9356.279,7691.9136,7953.9414,8607.502,8870.725,11871.863,12851.026,12182.5205,13545.758,12243.454,10747.151,10318.437,10167.509,12718.693,10435.303,11437.2,12322.602,13620.764,12439.8,14043.262,11815.602
452,517.1587_0.309,517.1586946,0.30900112,10839.147,19146.066,13160.008,10419.03,9296.845,17025.002,21419.12,15116.349,9720.878,10696.638,16487.379,3157.2913,4816.7686,4740.16,3062.288,4755.841,1707.7507,2753.075,9023.517,7079.8687,7897.059,9658.358,4002.0442,3201.9304,5862.1377,8477.033,5899.278,7239.092,7171.771,9777.204,10506.169,8885.567,11200.885
4040,517.1707_3.291,517.1707456,3.2909927,1618.2332,2971.279,2450.3472,1453.3522,1713.656,1460.7228,1752.7769,2091.1829,1404.6296,2105.5217,2132.0298,176032.33,165323.75,172588.52,173862.69,175544,182304.64,137750.1,34284.3,35035.67,32249.104,38334.48,103982.805,79310.83,118049.84,34783.91,33088.25,32268.014,35658.402,34354.066,33443.137,35014.098,38272.91
4045,517.2282_3.3109,517.228154,3.3108814,10155.252,8499.086,12468.179,11559.942,10783.862,9355.249,13273.663,10540.179,9277.498,9828.716,10060.115,8704.357,8087.919,8430.423,9514.188,9727.425,8674.806,9684.261,7806.6514,9684.169,9355.726,10240.009,9649.614,10204.571,9187.978,8864.6455,10286.44,9901.029,10636.969,10398.836,8763.039,9804.513,9718.978
3770,517.2286_3.0066,517.2285591,3.0065937,6513.1206,9034.678,8315.459,6361.9033,6098.483,9195.791,8331.079,7983.739,6281.5063,6415.507,9933.144,3412.7961,4140.263,3825.7117,4404.7783,4805.971,6114.834,6627.806,7094.512,5351.442,5816.33,5564.059,6313.383,5940.239,6139.305,5446.8984,5596.2217,5982.4463,7166.18,7444.5127,7091.9478,8553.891,6548.1333
